# 몬스터 스폰 그룹 표 (서버 전용 - 그룹별 몬스터 구성으로 맵 정체성 부여, 맵 번호가 클수록 난이도 상승)
# 컬럼: mapId, type, x0, y0, x1, y1, count, respawnDelayMs
# type: EMonsterType 값 (monsters.yml의 type과 동일 체계)
# 한 행 = 스폰 그룹 하나: 사각 구역 [x0,y0]~[x1,y1] 안에 count 마리를 유지한다.
#   부활 위치 = 구역 안 랜덤 (부활 위치 == 배회 기준점). 죽은 몹은 시신 회수 후 respawnDelayMs 뒤 그 그룹 구역에 부활.
# respawnDelayMs: 반드시 1 이상 (0 = 구버전 점 스폰 파일 - 부팅 거부로 구분). 보스 그룹은 길게(희소성).
# 검증: 맵별 count 합 <= maps.csv monsterCap (초과 = 부팅 거부. cap은 미래 유입 대비 안전 천장).
#   종류별 cap(monsters.yml·0=무제한)은 같은 맵 count 합과 대조. 구역은 부활 지점(maps.csv respawn)에서 어그로 밖.
#   [!] 어그로 검증은 스폰 위치 기준 - 배회(반경 400)로 몬스터가 구역 밖 부활 지점 근처까지 올 수는 있다 (부활 무적 1초가 완충).
0, 0, 1150, 1150, 1650, 1650, 10, 5000
0, 0, 1450, 1150, 1950, 1650, 10, 5000
0, 3, 1150, 1450, 1650, 1950, 10, 5000
1, 1, 1750, 1750, 2250, 2250, 8, 5000
1, 1, 2050, 1750, 2550, 2250, 8, 5000
1, 2, 1750, 2050, 2250, 2550, 8, 5000
2, 2, 1750, 1250, 2250, 1750, 7, 5000
2, 4, 1750, 1750, 2250, 2250, 1, 30000
3, 5, 1250, 1250, 1750, 1750, 10, 5000
3, 5, 1550, 1250, 2050, 1750, 10, 5000
3, 0, 1250, 1550, 1750, 2050, 10, 5000
4, 5, 1750, 1750, 2250, 2250, 8, 5000
4, 6, 2050, 1750, 2550, 2250, 8, 5000
4, 6, 1750, 2050, 2250, 2550, 8, 5000
5, 6, 1250, 1750, 1750, 2250, 8, 5000
5, 2, 1750, 1250, 2250, 1750, 8, 5000
5, 6, 2250, 2250, 2750, 2750, 8, 5000
6, 7, 1750, 1750, 2250, 2250, 7, 5000
6, 7, 2150, 1750, 2650, 2250, 7, 5000
6, 1, 1750, 2150, 2250, 2650, 6, 5000
7, 7, 1550, 1550, 2050, 2050, 6, 5000
7, 7, 1950, 1550, 2450, 2050, 5, 5000
7, 4, 1750, 1950, 2250, 2450, 1, 30000
8, 8, 1750, 1750, 2250, 2250, 1, 30000
8, 7, 1350, 1750, 1850, 2250, 4, 5000
8, 7, 2150, 1750, 2650, 2250, 3, 5000
